Mixed Chinese (simplified) and English,ch
Latin,latin
Arabic,arabic
Cyrillic,cyrillic
Devanagari,devanagari
Chinese (traditional),chinese_cht
Korean,korean
Japan,japan
Tamil,ta
Telugu,te
Kabardian,ka
